query_id,relevance_docid,score,confidence
264014,4647186,3,98.3
264014,684616,2,95
264014,3764482,2,95
264014,6337909,2,95
264014,528372,2,94
264014,5611210,2,94
264014,5635519,2,94
264014,6555322,2,94
264014,96851,2,94
264014,1610714,2,94
264014,3683674,2,94
264014,7326934,2,93.8
264014,1610710,2,93.3
264014,2223171,2,93
264014,3577344,2,93
264014,447992,2,93
264014,4687213,2,93
264014,5849270,2,93
264014,96854,2,93
264014,96857,2,92.6
264014,1804644,2,92.5
264014,6641238,2,92.5
264014,3666584,2,92.5
264014,1610706,2,92
264014,4834547,2,92
264014,5950719,2,92
264014,6105572,2,92
264014,1610711,2,92
264014,2420367,2,92
264014,684618,2,92
264014,8502491,2,92
264014,7196300,2,92
264014,1610713,2,91.2
264014,331933,2,91.2
264014,5635521,2,91.2
264014,340490,2,91.2
264014,4834545,2,91.2
264014,3577342,2,91
264014,5328095,2,91
264014,5950723,2,91
264014,5950724,2,91
264014,6105566,2,91
264014,6333841,2,91
264014,3780879,2,91
264014,4239616,2,91
264014,2572557,2,90
264014,1313260,2,90
264014,3666583,2,90
264014,331935,2,90
264014,340485,2,90
264014,4125993,2,90
264014,6501719,2,90
264014,96859,2,90
264014,5063309,2,90
264014,5896177,2,90
264014,96855,2,89
264014,276903,2,88.8
264014,3215992,2,88.8
264014,8008355,2,88.8
264014,96852,2,88.3
264014,2991665,2,88.3
264014,5063302,2,88.3
264014,1163962,2,88
264014,2688537,2,88
264014,5950725,2,87.5
264014,3120993,2,87
264014,4021598,2,86.2
264014,528379,2,85
264014,4125994,2,83.3
264014,3338827,2,
264014,5950722,2,
264014,7317297,1,78.3
264014,8531391,1,77.5
264014,3585842,1,76.7
264014,3201487,1,75
264014,8623794,1,73.3
264014,3720137,1,72.5
264014,1610708,1,72.5
264014,4615176,1,68.3
264014,1697966,1,68
264014,1610709,1,67.5
264014,8531389,1,67
264014,1610712,1,66.7
264014,5104401,1,66.7
264014,5583426,1,64
264014,96856,1,64
264014,2474341,1,63
264014,2498165,1,60
264014,3338823,1,58
264014,8310921,1,56
264014,5587285,1,55
264014,4018139,1,52.5
264014,5386314,1,50
264014,4018134,1,45
264014,5386309,1,44
264014,8193533,1,
264014,1444280,0,98.2
264014,4425760,0,95
264014,473960,0,92.5
264014,2438164,0,91.7
104861,3925933,2,94
104861,146170,2,93
104861,5688420,2,93
104861,2158194,2,92.5
104861,1046334,2,92
104861,1313687,2,92
104861,5150431,2,92
104861,5248340,2,92
104861,5248341,2,92
104861,5801822,2,92
104861,5836442,2,92
